Added Field - Active?,Field,Agreement #,Description,Alt Agreement,Agreement Type (Data Pull),Agreement Type (For Entry),Customer,Customer PO,Effective Date,Original Date,Expiration Date,Renew Through,Renew Markup,Rate Template,Agreement Price,Revenue Recognition,Auto Schedule Trips,0,Seq1,Description1,Service Site,Call Type,Service Center,Division,Tax Source,Separate Work Order,Auto Schedule Trip1,Pricing,Contact Before Scheduling,Auto Schedule Trip,Due,RecurringPatternType,See recurring options in screenshot >,Billing Seq1,Date1,Billing Amount1,Tax Type1,Tax Basis1,Seq2,Material,UM,Matl Qty,Cost ECM,Seq,Qty,Deferral1,Date2,Amount1,0,Billing Seq,Date3,Billing Amount,Tax Type,Tax Code,Tax Basis,Tax Amount,0,Deferral,Date,Amount,Should auto-populate based on Work Schedule.
,,,CCR4 Ottawa Flex Office Inc c/o Colliers International-Sprinkler,19-1255JP,MI,,NA,,01/01/2021,01/01/2019,01/01/2021,,,,160.0,,,,,"SPR,WET",106 Colonnade Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,CCR4 Ottawa Flex Office Inc c/o Colliers International-Fire Alarm,19-1255JP,MI,,NA,,01/01/2021,01/01/2019,01/01/2021,,,,160.0,,,,,FA,106 Colonnade Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,CCR4 Ottawa Flex Office Inc c/o Colliers International-Route,19-1255JP,MI,,NA,,01/01/2021,01/01/2019,01/01/2021,,,,160.0,,,,,"FE,EL",106 Colonnade Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Compass Commercial Realty ITF Proreit Acquisition (1) LP-Sprinkler,Tender,AI,,NA,,,,01/01/2021,,,,0.0,,,,,"HYD,SPR,WET",159 Cleopatra Drive,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Compass Commercial Realty ITF Proreit Acquisition (1) LP-Fire Alarm,Tender,AI,,NA,,,,01/01/2021,,,,0.0,,,,,FA,159 Cleopatra Drive,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Compass Commercial Realty ITF Proreit Acquisition (1) LP-Route,Tender,AI,,NA,,,,01/01/2021,,,,0.0,,,,,EL,159 Cleopatra Drive,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Compass Commercial Realty ITF Proreit Acquisition (1) LP-Sprinkler,Tender,MI,,NA,,,,01/01/2021,,,,0.0,,,,,"SPR,WET",159 Cleopatra Drive,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Compass Commercial Realty ITF Proreit Acquisition (1) LP-Fire Alarm,Tender,MI,,NA,,,,01/01/2021,,,,0.0,,,,,FA,159 Cleopatra Drive,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Compass Commercial Realty ITF Proreit Acquisition (1) LP-Route,Tender,MI,,NA,,,,01/01/2021,,,,0.0,,,,,"FE,EL",159 Cleopatra Drive,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Colliers International (Invoice CanFirst Ottawa Properties Inc.)-Route,19-1255JP,AI,,NA,,,,01/01/2021,,,,136.0,,,,,EL,10-40 Camelot Drive,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Colliers International (Invoice CanFirst Ottawa Properties Inc.)-Route,19-1255JP,MI,,NA,,01/01/2021,01/01/2019,01/01/2021,,,,136.0,,,,,EL,10-40 Camelot Drive,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
